Nombre_remitente,Email_remitente,Nombre_destinatario,Email_destinatario,Asunto,Contenido,Fecha,Message-ID
Palmira Puerta Cabrera,palmira.puerta.cabrera@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,personas causando disturbios,"Quiero detallar un problema que tuve recientemente en el tren: personas causando disturbios. Fue un inconveniente serio porque no recibí información clara en ningún momento. A causa de ello, llegué mucho más tarde de lo previsto. Me gustaría que se reforzara la atención en situaciones imprevistas. Un saludo cordial,
Palmira Puerta Cabrera Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-08-06 08:46,7ef0c20e-64f7-47f6-afe8-50a54e4cc0f2
Eladio Carreño Perales,eladio.carreño.perales@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,dudas sobre tarifas para grupos,"Me pongo en contacto porque he vivido una situación complicada: dudas sobre tarifas para grupos. El problema se agravó porque no había alternativas evidentes en ese momento. Esto provocó gastos adicionales que no debería haber tenido. Espero sinceramente que puedan evitar que algo así vuelva a suceder. Un saludo cordial,
Eladio Carreño Perales Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-12-15 07:54,cbc6deca-aae0-446b-8b3d-2c2d4119dc11
Amancio Cobos Llorente,amancio.cobos.llorente@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,personal que no atendió preguntas,"He experimentado un inconveniente durante mi viaje que deseo compartir: personal que no atendió preguntas. Esto generó bastante estrés ya que tenía compromisos importantes después. Como consecuencia, perdí mi conexión con otro transporte. Me gustaría que se reforzara la atención en situaciones imprevistas. Un saludo cordial,
Amancio Cobos Llorente Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-07-05 11:06,5ab6ac78-02fc-4548-9d71-9427a3834b26
Emigdio Miró Batalla,emigdio.miró.batalla@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,puertas que cerraban o abrían incorrectamente,"He experimentado un inconveniente durante mi viaje que deseo compartir: puertas que cerraban o abrían incorrectamente. Fue un inconveniente serio porque no recibí información clara en ningún momento. Como consecuencia, perdí mi conexión con otro transporte. Me gustaría que se reforzara la atención en situaciones imprevistas. Un saludo cordial,
Emigdio Miró Batalla Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-08-16 08:21,695bc975-ecf6-44b5-bead-704eb10e2f43
Guiomar Palau Ferrero,guiomar.palau.ferrero@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,la cancelación del tren por condiciones meteorológicas,"Quiero detallar un problema que tuve recientemente en el tren: la cancelación del tren por condiciones meteorológicas. Esto generó bastante estrés ya que tenía compromisos importantes después. Tuve que reorganizar citas y generar cambios de última hora. Me gustaría que en el futuro haya más claridad y rapidez en la comunicación. Un saludo cordial,
Guiomar Palau Ferrero Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-03-23 14:16,23cda475-68ec-4b27-80a0-3370714170fa
Roldán Benitez Barroso,roldán.benitez.barroso@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,una reserva en zona silenciosa que no se respetó,"Quiero detallar un problema que tuve recientemente en el tren: una reserva en zona silenciosa que no se respetó. La situación fue especialmente problemática porque afectó toda mi organización. Terminé buscando soluciones por mi cuenta, lo cual fue muy difícil. Espero sinceramente que puedan evitar que algo así vuelva a suceder. Un saludo cordial,
Roldán Benitez Barroso Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-03-28 17:21,67d02e6c-6fd3-4cd0-83e5-56a23b76a1b2
Fernando Cleto Barceló Águila,fernando.cleto.barceló.águila@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,un retraso causado por problemas técnicos en el tren,"Me dirijo a ustedes para describir un incidente ocurrido en el tren: un retraso causado por problemas técnicos en el tren. La situación fue especialmente problemática porque afectó toda mi organización. Terminé buscando soluciones por mi cuenta, lo cual fue muy difícil. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Fernando Cleto Barceló Águila Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2023-05-18 18:11,399a1805-4604-4672-b082-3e65fd43145e
Hermenegildo Correa Quintana,hermenegildo.correa.quintana@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,una doble compra accidental,"Quiero detallar un problema que tuve recientemente en el tren: una doble compra accidental. El problema se agravó porque no había alternativas evidentes en ese momento. Esto provocó gastos adicionales que no debería haber tenido. Sería de gran ayuda que se implementaran mejoras para prevenir estos problemas. Un saludo cordial,
Hermenegildo Correa Quintana Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-12-02 20:45,6e2914bd-a1a0-4e4a-b302-dc579408d5cf
Isabela Escrivá Plaza,isabela.escrivá.plaza@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,anuncios por megafonía difíciles de entender,"Me dirijo a ustedes para describir un incidente ocurrido en el tren: anuncios por megafonía difíciles de entender. Fue un inconveniente serio porque no recibí información clara en ningún momento. Terminé buscando soluciones por mi cuenta, lo cual fue muy difícil. Sería de gran ayuda que se implementaran mejoras para prevenir estos problemas. Un saludo cordial,
Isabela Escrivá Plaza Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-03-27 11:34,d762b3b7-9680-478d-b34e-2b3215b6c97f
Custodia Bru Botella,custodia.bru.botella@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,haber recibido información poco clara del servicio de objetos perdidos,"Quiero detallar un problema que tuve recientemente en el tren: haber recibido información poco clara del servicio de objetos perdidos. La situación fue especialmente problemática porque afectó toda mi organización. Esto provocó gastos adicionales que no debería haber tenido. Sería de gran ayuda que se implementaran mejoras para prevenir estos problemas. Un saludo cordial,
Custodia Bru Botella Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-10-28 13:41,d4f824ca-0605-4196-a682-07ebbd3123e1
Saturnino Pérez Marqués,saturnino.pérez.marqués@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,problemas con billete para perro,"En mi último trayecto ocurrió algo que considero importante comunicar: problemas con billete para perro. Lo más complicado fue que dependía de la puntualidad para llegar a tiempo. Esto provocó gastos adicionales que no debería haber tenido. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Saturnino Pérez Marqués Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-06-25 11:18,74def640-248d-448d-9380-58c729ba61db
Casandra Samper,casandra.samper@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,mesas pegajosas,"En mi último trayecto ocurrió algo que considero importante comunicar: mesas pegajosas. Fue un inconveniente serio porque no recibí información clara en ningún momento. A causa de ello, llegué mucho más tarde de lo previsto. Espero sinceramente que puedan evitar que algo así vuelva a suceder. Un saludo cordial,
Casandra Samper Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-06-11 13:49,6fbe0c31-f05d-4529-a549-a7ed7a67122b
Irene Tamarit,irene.tamarit@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,un retraso porque no había maquinista disponible,"Les escribo para informar de algo que me sucedió en el trayecto: un retraso porque no había maquinista disponible. Fue un inconveniente serio porque no recibí información clara en ningún momento. A causa de ello, llegué mucho más tarde de lo previsto. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Irene Tamarit Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-01-09 19:41,0e022e76-228b-4b42-8088-edb4e8b9f9b9
Nicolasa Garmendia Samper,nicolasa.garmendia.samper@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,una duda sobre reembolso del billete,"Quiero detallar un problema que tuve recientemente en el tren: una duda sobre reembolso del billete. Fue un inconveniente serio porque no recibí información clara en ningún momento. Como consecuencia, perdí mi conexión con otro transporte. Me gustaría que en el futuro haya más claridad y rapidez en la comunicación. Un saludo cordial,
Nicolasa Garmendia Samper Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-03-05 07:34,f46afbbd-e7a3-4f32-931d-b0953479014c
Maricela Graciela Pou Girona,maricela.graciela.pou.girona@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,señalización confusa,"He experimentado un inconveniente durante mi viaje que deseo compartir: señalización confusa. El problema se agravó porque no había alternativas evidentes en ese momento. Tuve que reorganizar citas y generar cambios de última hora. Sería de gran ayuda que se implementaran mejoras para prevenir estos problemas. Un saludo cordial,
Maricela Graciela Pou Girona Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-05-02 13:13,e9f3ef44-f8ce-4535-b3fc-387a32476d5a
Enrique Sanz Medina,enrique.sanz.medina@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,un retraso de más de 30 minutos pese a que se había informado puntualidad,"Me pongo en contacto porque he vivido una situación complicada: un retraso de más de 30 minutos pese a que se había informado puntualidad. Lo más complicado fue que dependía de la puntualidad para llegar a tiempo. Terminé buscando soluciones por mi cuenta, lo cual fue muy difícil. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Enrique Sanz Medina Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-05-05 07:13,367315d4-3292-42e1-80a7-e658a769e112
Teodoro Carrera-Córdoba,teodoro.carrera-córdoba@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,el ascensor de la estación estaba fuera de servicio,"Quiero detallar un problema que tuve recientemente en el tren: el ascensor de la estación estaba fuera de servicio. Esto generó bastante estrés ya que tenía compromisos importantes después. A causa de ello, llegué mucho más tarde de lo previsto. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Teodoro Carrera-Córdoba Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2023-03-09 17:01,d0f03c8d-107a-4e55-95b9-3d0622382f11
Itziar Aragonés Vergara,itziar.aragonés.vergara@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,un objeto sospechoso en el tren,"He experimentado un inconveniente durante mi viaje que deseo compartir: un objeto sospechoso en el tren. Fue un inconveniente serio porque no recibí información clara en ningún momento. Tuve que reorganizar citas y generar cambios de última hora. Sería de gran ayuda que se implementaran mejoras para prevenir estos problemas. Un saludo cordial,
Itziar Aragonés Vergara Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-04-05 16:09,bac66e71-9a6e-44a2-b607-e5ca355e1cc7
Adelaida Pavón Fabra,adelaida.pavón.fabra@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,aire acondicionado demasiado frío,"Me pongo en contacto porque he vivido una situación complicada: aire acondicionado demasiado frío. La situación fue especialmente problemática porque afectó toda mi organización. Terminé buscando soluciones por mi cuenta, lo cual fue muy difícil. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Adelaida Pavón Fabra Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-02-11 16:36,229ad966-30a0-40ec-ae72-2f62ddb554c7
Conrado Arnau Bejarano,conrado.arnau.bejarano@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,una reserva en zona silenciosa que no se respetó,"Me dirijo a ustedes para describir un incidente ocurrido en el tren: una reserva en zona silenciosa que no se respetó. Fue un inconveniente serio porque no recibí información clara en ningún momento. A causa de ello, llegué mucho más tarde de lo previsto. Me gustaría que se reforzara la atención en situaciones imprevistas. Un saludo cordial,
Conrado Arnau Bejarano Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-08-20 17:30,00628cac-8de5-41d3-95a1-8673ba85f91a
Rosenda del Torrent,rosenda.del.torrent@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,papeleras sin vaciar,"Quiero detallar un problema que tuve recientemente en el tren: papeleras sin vaciar. Lo más complicado fue que dependía de la puntualidad para llegar a tiempo. Esto provocó gastos adicionales que no debería haber tenido. Me gustaría que en el futuro haya más claridad y rapidez en la comunicación. Un saludo cordial,
Rosenda del Torrent Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2023-02-08 16:24,45fe160d-7cd0-4a76-836d-954c880f54cd
Abel Riba Calderón,abel.riba.calderón@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,una sugerencia para disponer de más enchufes,"Me dirijo a ustedes para describir un incidente ocurrido en el tren: una sugerencia para disponer de más enchufes. El problema se agravó porque no había alternativas evidentes en ese momento. Esto provocó gastos adicionales que no debería haber tenido. Sería de gran ayuda que se implementaran mejoras para prevenir estos problemas. Un saludo cordial,
Abel Riba Calderón Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2023-01-11 20:22,091a5c26-c052-4a92-9687-1122339a0fa9
Cirino Reig Osorio,cirino.reig.osorio@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,la rampa para silla de ruedas no estaba disponible,"Me pongo en contacto porque he vivido una situación complicada: la rampa para silla de ruedas no estaba disponible. Esto generó bastante estrés ya que tenía compromisos importantes después. Como consecuencia, perdí mi conexión con otro transporte. Sería de gran ayuda que se implementaran mejoras para prevenir estos problemas. Un saludo cordial,
Cirino Reig Osorio Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2023-04-14 12:17,6812ebc5-cf75-43ae-b864-95db4b9efa71
Benigna Losa Castilla,benigna.losa.castilla@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,vandalismo dentro del tren,"Me pongo en contacto porque he vivido una situación complicada: vandalismo dentro del tren. Lo más complicado fue que dependía de la puntualidad para llegar a tiempo. Terminé buscando soluciones por mi cuenta, lo cual fue muy difícil. Me gustaría que en el futuro haya más claridad y rapidez en la comunicación. Un saludo cordial,
Benigna Losa Castilla Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-08-14 11:44,71408ac7-b6ed-47b8-a4dd-64b3e64a1dd4
Clementina Reyes Macías,clementina.reyes.macías@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,normas de transporte de bicicletas poco claras,"Les escribo para informar de algo que me sucedió en el trayecto: normas de transporte de bicicletas poco claras. La situación fue especialmente problemática porque afectó toda mi organización. Esto provocó gastos adicionales que no debería haber tenido. Me gustaría que se reforzara la atención en situaciones imprevistas. Un saludo cordial,
Clementina Reyes Macías Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-06-26 09:18,4c3f8bb3-d7e7-45ef-a710-a8bd922a10c8
Juana Nogueira,juana.nogueira@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,un retraso causado por problemas técnicos en el tren,"Les escribo para informar de algo que me sucedió en el trayecto: un retraso causado por problemas técnicos en el tren. El problema se agravó porque no había alternativas evidentes en ese momento. Esto provocó gastos adicionales que no debería haber tenido. Espero sinceramente que puedan evitar que algo así vuelva a suceder. Un saludo cordial,
Juana Nogueira Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2023-07-17 06:17,e5cfa6bb-ca82-4ca6-8754-91db3daa89dd
Galo Ortuño-Almansa,galo.ortuño-almansa@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,dudas sobre viajar con mascota,"En mi último trayecto ocurrió algo que considero importante comunicar: dudas sobre viajar con mascota. El problema se agravó porque no había alternativas evidentes en ese momento. A causa de ello, llegué mucho más tarde de lo previsto. Espero sinceramente que puedan evitar que algo así vuelva a suceder. Un saludo cordial,
Galo Ortuño-Almansa Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2023-06-28 20:28,4ed59652-c4b2-436a-ac84-9df20de02439
Macaria Lobato Gascón,macaria.lobato.gascón@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,asientos sucios,"Quiero detallar un problema que tuve recientemente en el tren: asientos sucios. Fue un inconveniente serio porque no recibí información clara en ningún momento. A causa de ello, llegué mucho más tarde de lo previsto. Me gustaría que se reforzara la atención en situaciones imprevistas. Un saludo cordial,
Macaria Lobato Gascón Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-04-07 20:10,0f27e34c-8411-4169-a6ca-de24752d5ce0
Ruy Augusto Carpio Castelló,ruy.augusto.carpio.castelló@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,problemas para viajar con gran cantidad de equipaje,"Tuve un problema durante el viaje y considero necesario notificarlo: problemas para viajar con gran cantidad de equipaje. Esto generó bastante estrés ya que tenía compromisos importantes después. Como consecuencia, perdí mi conexión con otro transporte. Sería de gran ayuda que se implementaran mejoras para prevenir estos problemas. Un saludo cordial,
Ruy Augusto Carpio Castelló Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-06-27 20:48,41b47e4b-8575-4f39-a5a6-8088a9c4ea13
Fabián de Salom,fabián.de.salom@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,anuncios por megafonía difíciles de entender,"En mi último trayecto ocurrió algo que considero importante comunicar: anuncios por megafonía difíciles de entender. Fue un inconveniente serio porque no recibí información clara en ningún momento. A causa de ello, llegué mucho más tarde de lo previsto. Me gustaría que en el futuro haya más claridad y rapidez en la comunicación. Un saludo cordial,
Fabián de Salom Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2023-05-13 15:30,b80e5c2d-1d47-4925-b1e6-8e978cfc4f2d
Isabel Lobo-Ocaña,isabel.lobo-ocaña@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,mal olor persistente en el vagón,"Quisiera explicar lo que ocurrió durante mi último viaje: mal olor persistente en el vagón. Esto generó bastante estrés ya que tenía compromisos importantes después. Tuve que reorganizar citas y generar cambios de última hora. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Isabel Lobo-Ocaña Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-05-02 15:35,fe86d261-ff7b-41a9-a71e-f17242579f33
Casemiro Plaza Amorós,casemiro.plaza.amorós@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,zonas resbaladizas en el andén,"He experimentado un inconveniente durante mi viaje que deseo compartir: zonas resbaladizas en el andén. El problema se agravó porque no había alternativas evidentes en ese momento. Esto provocó gastos adicionales que no debería haber tenido. Espero sinceramente que puedan evitar que algo así vuelva a suceder. Un saludo cordial,
Casemiro Plaza Amorós Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-04-15 19:13,81927bb8-9cc7-4fbd-b925-cc421f297022
Gabino Rocamora Angulo,gabino.rocamora.angulo@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,un retraso causado por una avería en la vía,"Me pongo en contacto porque he vivido una situación complicada: un retraso causado por una avería en la vía. Fue un inconveniente serio porque no recibí información clara en ningún momento. Esto provocó gastos adicionales que no debería haber tenido. Me gustaría que se reforzara la atención en situaciones imprevistas. Un saludo cordial,
Gabino Rocamora Angulo Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-09-10 10:42,052148e8-4b75-4d01-a099-a644b9a1d19e
Pío del Arroyo,pío.del.arroyo@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,la cancelación total del tren sin alternativa,"Quiero detallar un problema que tuve recientemente en el tren: la cancelación total del tren sin alternativa. Esto generó bastante estrés ya que tenía compromisos importantes después. Esto provocó gastos adicionales que no debería haber tenido. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Pío del Arroyo Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-12-07 14:21,f56d683c-40c4-4423-9492-2ee0cc7eb2b9
Modesto Moll Santos,modesto.moll.santos@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,la cancelación total del tren sin alternativa,"Me dirijo a ustedes para describir un incidente ocurrido en el tren: la cancelación total del tren sin alternativa. El problema se agravó porque no había alternativas evidentes en ese momento. A causa de ello, llegué mucho más tarde de lo previsto. Sería de gran ayuda que se implementaran mejoras para prevenir estos problemas. Un saludo cordial,
Modesto Moll Santos Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-01-14 16:17,a0ce3e7b-1dd5-46b6-924a-26133eae1c8d
Benigna Dueñas-Izquierdo,benigna.dueñas-izquierdo@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,confusión sobre zonas tarifarias,"Tuve un problema durante el viaje y considero necesario notificarlo: confusión sobre zonas tarifarias. Lo más complicado fue que dependía de la puntualidad para llegar a tiempo. A causa de ello, llegué mucho más tarde de lo previsto. Espero sinceramente que puedan evitar que algo así vuelva a suceder. Un saludo cordial,
Benigna Dueñas-Izquierdo Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-04-06 17:55,e89e0cbb-c200-41a4-a953-ea2a510fe672
Sandra Barceló Segarra,sandra.barceló.segarra@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,haber perdido una cartera,"Quiero detallar un problema que tuve recientemente en el tren: haber perdido una cartera. Lo más complicado fue que dependía de la puntualidad para llegar a tiempo. Esto provocó gastos adicionales que no debería haber tenido. Espero sinceramente que puedan evitar que algo así vuelva a suceder. Un saludo cordial,
Sandra Barceló Segarra Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-02-21 14:03,503efb0b-e247-46f6-bec5-b24a65f05f03
Concepción Leonor Robledo Agullo,concepción.leonor.robledo.agullo@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,un retraso debido al embarque lento por exceso de pasajeros,"Les escribo para informar de algo que me sucedió en el trayecto: un retraso debido al embarque lento por exceso de pasajeros. La situación fue especialmente problemática porque afectó toda mi organización. Esto provocó gastos adicionales que no debería haber tenido. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Concepción Leonor Robledo Agullo Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-07-21 07:41,f65f6c8c-a289-4824-9407-dc4d4c26c7c2
Leire Azorin Rovira,leire.azorin.rovira@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,un retraso causado por una avería en la vía,"Me gustaría relatarles una situación que me afectó bastante: un retraso causado por una avería en la vía. Fue un inconveniente serio porque no recibí información clara en ningún momento. Esto provocó gastos adicionales que no debería haber tenido. Me gustaría que se reforzara la atención en situaciones imprevistas. Un saludo cordial,
Leire Azorin Rovira Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2023-06-07 17:59,d5663a7f-038e-4cc4-9fb6-e6faaf3ea563
Pascual Alcides Bauzà Bastida,pascual.alcides.bauzà.bastida@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,un retraso porque el tren estuvo esperando conexiones,"Quiero detallar un problema que tuve recientemente en el tren: un retraso porque el tren estuvo esperando conexiones. Fue un inconveniente serio porque no recibí información clara en ningún momento. A causa de ello, llegué mucho más tarde de lo previsto. Me gustaría que se reforzara la atención en situaciones imprevistas. Un saludo cordial,
Pascual Alcides Bauzà Bastida Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2025-11-11 10:23,06b025d1-9b3f-4b41-9423-caead3e226c4
Corona del Mosquera,corona.del.mosquera@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,el ascensor de la estación estaba fuera de servicio,"Me gustaría relatarles una situación que me afectó bastante: el ascensor de la estación estaba fuera de servicio. La situación fue especialmente problemática porque afectó toda mi organización. Terminé buscando soluciones por mi cuenta, lo cual fue muy difícil. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Corona del Mosquera Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2023-05-27 09:35,01a16596-d263-4e97-89f7-4e339ebe0238
Édgar Mesa Aparicio,édgar.mesa.aparicio@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,normas de transporte de bicicletas poco claras,"He experimentado un inconveniente durante mi viaje que deseo compartir: normas de transporte de bicicletas poco claras. Fue un inconveniente serio porque no recibí información clara en ningún momento. Tuve que reorganizar citas y generar cambios de última hora. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial,
Édgar Mesa Aparicio Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2024-07-01 14:52,aca58294-be24-44f5-bc96-b432aae38c23
María Carmen de Arnaiz,maría.carmen.de.arnaiz@correo.es,Servicio de Atención al Cliente de Renfe,atencion@renfe.es,falta de ayuda para personas con movilidad reducida,"En mi último trayecto ocurrió algo que considero importante comunicar: falta de ayuda para personas con movilidad reducida. Esto generó bastante estrés ya que tenía compromisos importantes después. Terminé buscando soluciones por mi cuenta, lo cual fue muy difícil. Sería de gran ayuda que se implementaran mejoras para prevenir estos problemas. Un saludo cordial,
María Carmen de Arnaiz Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.",2023-09-07 07:32,33347707-73dc-4869-bb47-719f33ec913c
